domain,slot,value
GetBanks,recipient_account_type,checking
GetBanks,recipient_account_type,savings
GetBuses,departure_date,2019-03-01
GetBuses,departure_date,2019-03-02
GetBuses,departure_date,2019-03-03
GetBuses,departure_date,2019-03-04
GetBuses,departure_date,2019-03-05
GetBuses,departure_date,2019-03-06
GetBuses,departure_date,2019-03-07
GetBuses,departure_date,2019-03-08
GetBuses,departure_date,2019-03-09
GetBuses,departure_date,2019-03-10
GetBuses,departure_date,2019-03-11
GetBuses,departure_date,2019-03-12
GetBuses,departure_date,2019-03-13
GetBuses,departure_date,2019-03-14
GetBuses,departure_time,06:00
GetBuses,departure_time,06:10
GetBuses,departure_time,06:20
GetBuses,departure_time,06:30
GetBuses,departure_time,06:40
GetBuses,departure_time,06:50
GetBuses,departure_time,07:00
GetBuses,departure_time,07:10
GetBuses,departure_time,07:20
GetBuses,departure_time,07:30
GetBuses,departure_time,07:40
GetBuses,departure_time,07:50
GetBuses,departure_time,08:00
GetBuses,departure_time,08:10
GetBuses,departure_time,08:20
GetBuses,departure_time,08:30
GetBuses,departure_time,08:40
GetBuses,departure_time,08:50
GetBuses,departure_time,09:20
GetBuses,departure_time,09:40
GetBuses,departure_time,10:00
GetBuses,departure_time,10:10
GetBuses,departure_time,10:20
GetBuses,departure_time,10:30
GetBuses,departure_time,10:40
GetBuses,departure_time,10:50
GetBuses,departure_time,11:00
GetBuses,departure_time,11:10
GetBuses,departure_time,11:20
GetBuses,departure_time,11:30
GetBuses,departure_time,11:40
GetBuses,departure_time,12:10
GetBuses,departure_time,12:20
GetBuses,departure_time,12:30
GetBuses,departure_time,12:40
GetBuses,departure_time,12:50
GetBuses,departure_time,13:00
GetBuses,departure_time,13:20
GetBuses,departure_time,13:30
GetBuses,departure_time,13:50
GetBuses,departure_time,14:00
GetBuses,departure_time,14:10
GetBuses,departure_time,14:20
GetBuses,departure_time,14:40
GetBuses,departure_time,14:50
GetBuses,departure_time,15:00
GetBuses,departure_time,15:30
GetBuses,departure_time,15:40
GetBuses,departure_time,16:00
GetBuses,departure_time,16:10
GetBuses,departure_time,16:30
GetBuses,departure_time,16:50
GetBuses,departure_time,17:10
GetBuses,departure_time,17:20
GetBuses,departure_time,17:30
GetBuses,departure_time,17:50
GetBuses,departure_time,18:00
GetBuses,departure_time,18:10
GetBuses,departure_time,18:50
GetBuses,departure_time,19:20
GetBuses,departure_time,19:30
GetBuses,departure_time,19:50
GetBuses,destination,Anaheim
GetBuses,destination,Fresno
GetBuses,destination,Las Vegas
GetBuses,destination,Long Beach
GetBuses,destination,Los Angeles
GetBuses,destination,New York
GetBuses,destination,Philadelphia
GetBuses,destination,Portland
GetBuses,destination,Sacramento
GetBuses,destination,San Diego
GetBuses,destination,San Francisco
GetBuses,destination,Seattle
GetBuses,destination,Vancouver
GetBuses,destination,Washington
GetBuses,group_size,1
GetBuses,group_size,2
GetBuses,group_size,3
GetBuses,group_size,4
GetBuses,origin,Anaheim
GetBuses,origin,Fresno
GetBuses,origin,Las Vegas
GetBuses,origin,Long Beach
GetBuses,origin,Los Angeles
GetBuses,origin,New York
GetBuses,origin,Philadelphia
GetBuses,origin,Portland
GetBuses,origin,Sacramento
GetBuses,origin,San Diego
GetBuses,origin,San Francisco
GetBuses,origin,Seattle
GetBuses,origin,Vancouver
GetBuses,origin,Washington
GetEvents,category,Music
GetEvents,category,Sports
GetEvents,city,Anaheim
GetEvents,city,Atlanta
GetEvents,city,Belvedere
GetEvents,city,Berkeley
GetEvents,city,Chicago
GetEvents,city,London
GetEvents,city,Long Beach
GetEvents,city,Los Angeles
GetEvents,city,Napa
GetEvents,city,New York
GetEvents,city,Oakland
GetEvents,city,Philadelphia
GetEvents,city,Phoenix
GetEvents,city,Portland
GetEvents,city,Rohnert Park
GetEvents,city,Sacramento
GetEvents,city,San Diego
GetEvents,city,San Francisco
GetEvents,city,San Jose
GetEvents,city,Santa Rosa
GetEvents,city,Seattle
GetEvents,city,Stanford
GetEvents,city,Toronto
GetEvents,city,Vancouver
GetEvents,city,Washington D.C.
GetEvents,city,Yountville
GetEvents,date,2019-03-01
GetEvents,date,2019-03-02
GetEvents,date,2019-03-03
GetEvents,date,2019-03-04
GetEvents,date,2019-03-05
GetEvents,date,2019-03-06
GetEvents,date,2019-03-07
GetEvents,date,2019-03-08
GetEvents,date,2019-03-09
GetEvents,date,2019-03-10
GetEvents,date,2019-03-11
GetEvents,date,2019-03-12
GetEvents,date,2019-03-13
GetEvents,date,2019-03-14
GetEvents,event_name,Aaron Lewis
GetEvents,event_name,Acoustic Alchemy
GetEvents,event_name,Aftershock Festival
GetEvents,event_name,Alejandro Sanz
GetEvents,event_name,Allan Rayman
GetEvents,event_name,Aly And Aj
GetEvents,event_name,Amber Run Brooklyn
GetEvents,event_name,Americo
GetEvents,event_name,Anberlin
GetEvents,event_name,Angels Vs Astros
GetEvents,event_name,Angels Vs Red Sox
GetEvents,event_name,Angels Vs Tigers
GetEvents,event_name,Arizona Vs La Dodgers
GetEvents,event_name,Atlanta Summer Organ Festival
GetEvents,event_name,Basta
GetEvents,event_name,Bastille
GetEvents,event_name,Ben Harper
GetEvents,event_name,Berkeley World Music Festival
GetEvents,event_name,Bill Callahan
GetEvents,event_name,Billy Currington
GetEvents,event_name,Billy Idol
GetEvents,event_name,Blackbear
GetEvents,event_name,Blowout Music Festival
GetEvents,event_name,Blue Jays Vs Astros
GetEvents,event_name,Blue Jays Vs Braves
GetEvents,event_name,Blue Jays Vs Indians
GetEvents,event_name,Blue Jays Vs Orioles
GetEvents,event_name,Blue Jays Vs Rangers
GetEvents,event_name,Blueface
GetEvents,event_name,Brown Sabbath
GetEvents,event_name,Bryan Adams
GetEvents,event_name,Buddy Guy
GetEvents,event_name,Carbon Leaf
GetEvents,event_name,Cardinal Vs Ducks
GetEvents,event_name,Cardinal Vs Fighting Irish
GetEvents,event_name,Carmina Burana
GetEvents,event_name,Celine Dion
GetEvents,event_name,Chanticleer Concert
GetEvents,event_name,Chemical Brothers
GetEvents,event_name,Cher
GetEvents,event_name,Cody Johnson
GetEvents,event_name,Colin James
GetEvents,event_name,Conan Gray
GetEvents,event_name,Crooked Colours
GetEvents,event_name,Cruz Azul Vs Atlas
GetEvents,event_name,Crystal Lake
GetEvents,event_name,Cubs Vs Brewers
GetEvents,event_name,Cubs Vs Giants
GetEvents,event_name,Damien Jurado
GetEvents,event_name,Dc United Vs Revolution
GetEvents,event_name,Diamondbacks Vs Brewers
GetEvents,event_name,Diamondbacks Vs Cardinals
GetEvents,event_name,Diamondbacks Vs Orioles
GetEvents,event_name,Dodgers Vs Cubs
GetEvents,event_name,Dodgers Vs Diamondbacks
GetEvents,event_name,Dodgers Vs Giants
GetEvents,event_name,Dodgers Vs Marlins
GetEvents,event_name,Dodie
GetEvents,event_name,Don Broco
GetEvents,event_name,Eagles Vs Cowboys
GetEvents,event_name,Electric Feels
GetEvents,event_name,Emmylou Harris
GetEvents,event_name,Erica Fernandez
GetEvents,event_name,Esscalation Music Festival
GetEvents,event_name,Falcons Vs Buccaneers
GetEvents,event_name,Falcons Vs Jaguars
GetEvents,event_name,Falcons Vs Rams
GetEvents,event_name,Fidlar
GetEvents,event_name,Freestyle Love Supreme
GetEvents,event_name,Giants Vs Brewers
GetEvents,event_name,Giants Vs Diamondbacks
GetEvents,event_name,Giants Vs Dodgers
GetEvents,event_name,Girl In Red
GetEvents,event_name,Gloryhammer
GetEvents,event_name,Greensky Bluegrass
GetEvents,event_name,Greta Van Fleet
GetEvents,event_name,Harlem Gospel Choir
GetEvents,event_name,Hozier
GetEvents,event_name,Huskies Vs Cougars
GetEvents,event_name,Huskies Vs Warriors
GetEvents,event_name,India Vs Australia
GetEvents,event_name,Jethro Tull
GetEvents,event_name,Joe Hisaishi
GetEvents,event_name,Jojo Siwa
GetEvents,event_name,Jon B
GetEvents,event_name,Jon Bellion
GetEvents,event_name,Jordan Rakei
GetEvents,event_name,Kirk Franklin
GetEvents,event_name,Lafc Vs Atlanta United
GetEvents,event_name,Lafc Vs Rapids
GetEvents,event_name,Last Dinosaurs
GetEvents,event_name,Laura Osnes
GetEvents,event_name,Lights
GetEvents,event_name,Local Natives
GetEvents,event_name,Long Beach Jazz Festival
GetEvents,event_name,Low
GetEvents,event_name,Mac Demarco
GetEvents,event_name,Madonna Brooklyn
GetEvents,event_name,Mariners Vs Angels
GetEvents,event_name,Mariners Vs Rays
GetEvents,event_name,Matt Corby
GetEvents,event_name,Mets Vs Braves
GetEvents,event_name,Mets Vs Cubs
GetEvents,event_name,Mets Vs Diamondbacks
GetEvents,event_name,Mets Vs Indians
GetEvents,event_name,Mets Vs Phillies
GetEvents,event_name,Mets Vs Pirates
GetEvents,event_name,Nattali Rize
GetEvents,event_name,Nav With Killy
GetEvents,event_name,Nycfc Vs Dynamo
GetEvents,event_name,Nycfc Vs Earthquakes
GetEvents,event_name,Outlaw Music Festival
GetEvents,event_name,Owls Vs Bison
GetEvents,event_name,Owls Vs Tigers
GetEvents,event_name,Owls Vs Yellow Jackets
GetEvents,event_name,Padres Vs Brewers
GetEvents,event_name,Padres Vs Diamondbacks
GetEvents,event_name,Panteon Rococo
GetEvents,event_name,Panthers Vs Paladins
GetEvents,event_name,Phillies Vs Braves
GetEvents,event_name,Phillies Vs Diamondbacks
GetEvents,event_name,Phillies Vs Pirates
GetEvents,event_name,Portland Thorns Vs Houston
GetEvents,event_name,Prettymuch
GetEvents,event_name,Psychedelic Furs
GetEvents,event_name,Pup
GetEvents,event_name,Raiders Vs Bengals
GetEvents,event_name,Rams Vs Cardinals
GetEvents,event_name,Remo Drive
GetEvents,event_name,Seattle Vs La Angels
GetEvents,event_name,Sounders Vs Timbers
GetEvents,event_name,Sparks Vs Lynx
GetEvents,event_name,Sparks Vs Storm
GetEvents,event_name,Spose
GetEvents,event_name,Squeeze
GetEvents,event_name,Styx
GetEvents,event_name,The Acid
GetEvents,event_name,The Band Camino
GetEvents,event_name,The Lemonheads
GetEvents,event_name,The National
GetEvents,event_name,Thee Oh Sees
GetEvents,event_name,Timbers Vs Dc United
GetEvents,event_name,Timbers Vs Earthquakes
GetEvents,event_name,Todd Rundgren
GetEvents,event_name,Toronto Fc Vs Crew
GetEvents,event_name,Toto
GetEvents,event_name,Trojans Vs Bulldogs
GetEvents,event_name,Tuxedo
GetEvents,event_name,Usc Vs Oregon
GetEvents,event_name,Usc Vs Utah
GetEvents,event_name,Vertical Horizon
GetEvents,event_name,White Sox Vs Astros
GetEvents,event_name,White Sox Vs Twins
GetEvents,event_name,Whitecaps Vs Colorado Rapids
GetEvents,event_name,Whitecaps Vs Kansas City
GetEvents,event_name,Yankees Vs Angels
GetEvents,event_name,Yellow Jackets Vs Wolfpack
GetEvents,event_name,Yunger
GetEvents,event_name,Zz Top
GetEvents,event_type,American Football
GetEvents,event_type,Baseball
GetEvents,event_type,Basketball
GetEvents,event_type,Blues
GetEvents,event_type,Christian
GetEvents,event_type,Country
GetEvents,event_type,Electronica
GetEvents,event_type,Football
GetEvents,event_type,Hip Hop
GetEvents,event_type,Jazz
GetEvents,event_type,Pop
GetEvents,event_type,Rock
GetEvents,number_of_tickets,1
GetEvents,number_of_tickets,2
GetEvents,number_of_tickets,3
GetEvents,number_of_tickets,4
GetFlights,airlines,Air Canada
GetFlights,airlines,Alaska Airlines
GetFlights,airlines,American Airlines
GetFlights,airlines,Delta Airlines
GetFlights,airlines,Southwest Airlines
GetFlights,airlines,United Airlines
GetFlights,departure_date,2019-03-01
GetFlights,departure_date,2019-03-02
GetFlights,departure_date,2019-03-03
GetFlights,departure_date,2019-03-04
GetFlights,departure_date,2019-03-05
GetFlights,departure_date,2019-03-06
GetFlights,departure_date,2019-03-07
GetFlights,departure_date,2019-03-08
GetFlights,departure_date,2019-03-09
GetFlights,departure_date,2019-03-10
GetFlights,departure_date,2019-03-11
GetFlights,departure_date,2019-03-12
GetFlights,departure_date,2019-03-13
GetFlights,departure_date,2019-03-14
GetFlights,destination,Atlanta
GetFlights,destination,Chicago
GetFlights,destination,Delhi
GetFlights,destination,Kuala Lumpur
GetFlights,destination,Las Vegas
GetFlights,destination,London
GetFlights,destination,Los Angeles
GetFlights,destination,Mexico City
GetFlights,destination,Nairobi
GetFlights,destination,New York
GetFlights,destination,Paris
GetFlights,destination,Philadelphia
GetFlights,destination,Phoenix
GetFlights,destination,Portland
GetFlights,destination,San Diego
GetFlights,destination,San Francisco
GetFlights,destination,Seattle
GetFlights,destination,Sydney
GetFlights,destination,Toronto
GetFlights,destination,Vancouver
