experiment_group,context_type,pref_type,filename,valid_samples,domain_acc,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_meta-llama_Llama-3.1-8B-Instruct_test1.json,275,0.2109,0.0253,0.0129,0.7253,0.0452,0.0232,0.8012
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,275,0.0764,0.2273,0.135,0.7165,0.4165,0.2799,0.8137
vanillaLLM,diag-apilist,easy,1224_imp-zs_google_gemma-3-12b-it_test1.json,275,0.9964,0.2441,0.3689,0.1824,0.294,0.6559,0.1894
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_Qwen_Qwen3-VL-8B-Instruct_test1.json,275,0.9345,0.4366,0.3713,0.5297,0.6078,0.6704,0.5559
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_google_codegemma-7b-it_test1.json,275,0.3564,0.1926,0.1963,0.189,0.3013,0.5074,0.2143
vanillaLLM,diag-apilist,easy,1223_imp-zs_gemini-3-flash-preview_test1.json,275,1.0,0.5834,0.5246,0.6571,0.8031,0.7957,0.8106
vanillaLLM,diag-apilist,easy,1224_imp-zs_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,275,0.0473,0.2276,0.134,0.756,0.4279,0.2851,0.8571
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_google_gemma-3-12b-it_test1.json,275,0.9927,0.2419,0.3359,0.189,0.3333,0.6293,0.2267
vanillaLLM,diag-apilist,easy,1223_imp-zs_gpt-5-mini_test1.json,275,1.0,0.7249,0.7832,0.6747,0.8325,0.8557,0.8106
vanillaLLM,diag-apilist,easy,1224_imp-zs_google_codegemma-7b-it_test1.json,275,0.4145,0.2412,0.2407,0.2418,0.3655,0.517,0.2826
vanillaLLM,diag-apilist,easy,1224_imp-zs_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,275,0.0873,0.1929,0.1109,0.7407,0.3383,0.216,0.7795
vanillaLLM,diag-apilist,easy,1223_imp-zs_testing.json,271,0.9963,0.4655,0.3591,0.6615,0.6994,0.6826,0.717
vanillaLLM,diag-apilist,easy,1224_imp-zs_Qwen_Qwen3-VL-8B-Instruct_test1.json,275,0.9745,0.4091,0.3716,0.4549,0.5504,0.6538,0.4752
vanillaLLM,diag-apilist,easy,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-0528-Qwen3-8B_test1.json,275,0.1455,0.2038,0.1207,0.6527,0.3478,0.2319,0.6957
vanillaLLM,diag-apilist,easy,1223_imp-pref-group_gpt-5-mini_test1.json,275,1.0,0.6829,0.7671,0.6154,0.8031,0.7957,0.8106
vanillaLLM,diag-apilist,easy,1224_imp-zs_meta-llama_Llama-3.1-8B-Instruct_test1.json,275,0.2291,0.0239,0.0122,0.6901,0.048,0.0248,0.764
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_meta-llama_Llama-3.1-8B-Instruct_test1.json,344,0.2558,0.0029,0.0015,0.1628,0.0104,0.0053,0.183
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,344,0.1134,0.0324,0.0177,0.189,0.1184,0.0821,0.2124
vanillaLLM,diag-apilist,hard,1224_imp-zs_google_gemma-3-12b-it_test1.json,344,1.0,0.0043,0.008,0.0029,0.0061,0.0476,0.0033
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_Qwen_Qwen3-VL-8B-Instruct_test1.json,344,0.9855,0.0582,0.0382,0.1221,0.1386,0.14,0.1373
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_google_codegemma-7b-it_test1.json,344,0.468,0.0386,0.0289,0.0581,0.0917,0.1538,0.0654
vanillaLLM,diag-apilist,hard,1224_imp-zs_deepseek-ai_DeepSeek-R1-Distill-Llama-8B_test1.json,344,0.0669,0.0246,0.0136,0.1279,0.0909,0.0665,0.1438
vanillaLLM,diag-apilist,hard,1224_imp-pref-group_google_gemma-3-12b-it_test1.json,344,1.0,0.044,0.0705,0.032,0.0595,0.1719,0.0359
