experiment_group,context_type,pref_type,filename,valid_samples,domain_acc,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec
vanillaLLM,easy,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-pref-group_test1.jsonl,275,1.0,0.3532,0.3423,0.3648,0.4741,0.5872,0.3975
vanillaLLM,easy,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-zs_test1.jsonl,275,1.0,0.3314,0.3561,0.3099,0.4708,0.6686,0.3634
vanillaLLM,easy,model=deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,1224_imp-pref-group_test1.jsonl,275,1.0,0.5551,0.4632,0.6923,0.7741,0.7212,0.8354
vanillaLLM,easy,model=deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,1224_imp-zs_test1.jsonl,275,1.0,0.5288,0.4153,0.7275,0.7822,0.7479,0.8199
vanillaLLM,easy,model=deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1224_imp-pref-group_test1.jsonl,275,0.9236,0.3991,0.2996,0.5978,0.6017,0.5656,0.6429
vanillaLLM,easy,model=deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1224_imp-zs_test1.jsonl,275,0.9055,0.3775,0.2887,0.5451,0.5899,0.5836,0.5963
vanillaLLM,easy,model=google_codegemma-7b-it,1224_imp-pref-group_test1.jsonl,275,0.9964,0.3538,0.2493,0.6088,0.6196,0.5586,0.6957
vanillaLLM,easy,model=google_codegemma-7b-it,1224_imp-zs_test1.jsonl,275,0.9964,0.3745,0.2648,0.6396,0.6408,0.5789,0.7174
vanillaLLM,easy,model=google_gemma-3-12b-it,1224_imp-pref-group_test1.jsonl,275,0.9964,0.3008,0.3499,0.2637,0.4099,0.6149,0.3075
vanillaLLM,easy,model=google_gemma-3-12b-it,1224_imp-zs_test1.jsonl,275,0.9927,0.2422,0.3179,0.1956,0.307,0.6111,0.205
vanillaLLM,easy,model=meta-llama_Llama-3.1-8B-Instruct,1224_imp-pref-group_test1.jsonl,275,0.9855,0.3169,0.2202,0.5648,0.5443,0.4736,0.6398
vanillaLLM,easy,model=meta-llama_Llama-3.1-8B-Instruct,1224_imp-zs_test1.jsonl,275,0.9891,0.3172,0.2222,0.5538,0.5324,0.4713,0.6118
vanillaLLM,hard,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-pref-group_test1.jsonl,344,1.0,0.0579,0.0392,0.1105,0.1254,0.1267,0.1242
vanillaLLM,hard,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-zs_test1.jsonl,344,1.0,0.02,0.0145,0.032,0.0426,0.0524,0.0359
vanillaLLM,hard,model=deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,1224_imp-pref-group_test1.jsonl,344,1.0,0.1569,0.1131,0.2558,0.2669,0.2514,0.2843
vanillaLLM,hard,model=deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,1224_imp-zs_test1.jsonl,344,0.9971,0.0336,0.0236,0.0581,0.0778,0.0962,0.0654
vanillaLLM,hard,model=deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1224_imp-pref-group_test1.jsonl,344,0.9419,0.0486,0.0323,0.0988,0.116,0.1214,0.1111
vanillaLLM,hard,model=deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1224_imp-zs_test1.jsonl,344,0.936,0.0154,0.0105,0.0291,0.0382,0.0461,0.0327
vanillaLLM,hard,model=google_codegemma-7b-it,1224_imp-pref-group_test1.jsonl,344,0.9826,0.0515,0.0329,0.1192,0.1454,0.1589,0.134
vanillaLLM,hard,model=google_codegemma-7b-it,1224_imp-zs_test1.jsonl,344,0.8343,0.0,0.0,0.0,0.0,0.0,0.0
vanillaLLM,hard,model=google_gemma-3-12b-it,1224_imp-pref-group_test1.jsonl,344,1.0,0.0833,0.0977,0.0727,0.1253,0.2688,0.0817
vanillaLLM,hard,model=google_gemma-3-12b-it,1224_imp-zs_test1.jsonl,344,1.0,0.0073,0.0099,0.0058,0.012,0.0714,0.0065
vanillaLLM,hard,model=meta-llama_Llama-3.1-8B-Instruct,1224_imp-pref-group_test1.jsonl,344,0.9971,0.0382,0.0227,0.1221,0.1121,0.0948,0.1373
vanillaLLM,hard,model=meta-llama_Llama-3.1-8B-Instruct,1224_imp-zs_test1.jsonl,344,1.0,0.0268,0.0161,0.0814,0.0782,0.0683,0.0915
vanillaLLM,medium,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-pref-group_test1.jsonl,163,1.0,0.2222,0.1763,0.3006,0.3623,0.4103,0.3243
vanillaLLM,medium,model=Qwen_Qwen3-VL-8B-Instruct,1224_imp-zs_test1.jsonl,163,1.0,0.1883,0.1609,0.227,0.2984,0.37,0.25
vanillaLLM,medium,model=deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,1224_imp-pref-group_test1.jsonl,163,1.0,0.3703,0.246,0.7485,0.6305,0.5105,0.8243
